Дата,Текст
2025-05-23 12:12:21,"🌻**""Лента"" не планирует выплачивать дивиденды за 2024 год**

Совет директоров МКПАО ""Лента"" рекомендовал акционерам не выплачивать дивиденды за 2024 год, говорится в сообщении компании.

Дата проведения собрания акционеров по этому вопросу еще не опубликована.

""Лента"" еще ни разу в публичной истории не платила дивиденды. В обновленных положениях стратегии указывается, что началу дивидендных выплат будет предшествовать реализация стратегических целей в соответствии с дивполитикой.

В свою очередь дивполитика предусматривает ежегодные выплаты и промежуточные дивиденды в случае, если текущее финансовое положение компании является стабильным. Размер дивидендов по результатам года не должен превышать 100% свободного денежного потока за соответствующий период при условии, что коэффициент чистый долг/EBITDA будет находиться ниже 1,5х.

@ifax_go"
2025-05-23 12:08:14,"**Трамп пригрозил Apple пошлинами в 25%, акции компании теряют 3%**

Американский президент Дональд Трамп пригрозил Apple Inc. ввести пошлину ""как минимум в 25%"" на продаваемые в США iPhone, если они производятся за пределами страны.

Акции Apple теряют в цене 3% в ходе предварительных торгов в пятницу.

""Я уже давно говорил Тиму Куку (CEO Apple), что я жду, чтобы продаваемые в США iPhone производились в США, а не в Индии или еще где-либо. Если этого не будет, Apple должна будет платить пошлину как минимум в 25%"", - написал Трамп в соцсети Truth Social.

Apple выпускает iPhone преимущественно в Китае и Индии.

В пятницу Financial Times написала, что тайваньская Hon Hai Precision Industry Co. (Foxconn Technology), приступает к реализации проекта строительства завода по выпуску дисплейных модулей в Индии стоимостью $1,5 млрд. Предприятие будет производить компоненты для устройств Apple.

@ifax_go"
2025-05-23 11:44:42,"🇺🇸**Morgan Stanley ожидает роста индекса S&P 500 до 6500 пунктов**

Аналитики Morgan Stanley сохраняют годовой прогноз для фондового индекса S&P 500 на уровне 6500 пунктов, что предполагает рост более чем на 11% по сравнению с уровнем закрытия рынка в четверг.

__""В начале 2025 года мы исходили из того, что первое полугодие будет более сложным, поскольку политика может спровоцировать уход от риска, тогда как вторая половина текущего года и 2026 год будут более конструктивными"", __- говорится в обзоре главного стратега Morgan Stanley по фондовому рынку США Майкла Уилсона.

__""Хотя нас удивили масштаб и скорость роста давления, связанного с пошлинами, в первом полугодии, наше мнение относительно этой последовательности не изменилось"",__ - отмечает эксперт.

Аналитики Morgan Stanley полагают, что фондовый рынок, снизившийся после введения Вашингтоном крупных пошлин на импорт в апреле этого года, уже прошел дно.

Остается немало факторов, продолжающих оказывать давление на рынок акций, в том числе, это резкий рост доходностей долгосрочных гособлигаций, который в настоящее время вызывает наибольшие опасения у инвесторов, отмечает Уилсон.

@ifax_go"
2025-05-23 11:36:24,"**ЦБ РФ с 2026 года начнет публиковать график заседаний совета директоров по макропруденциальной политике**

Банк России планирует с 2026 года начать публиковать график заседаний совета директоров по вопросам макропруденциальной политики, говорится в докладе регулятора.

ЦБ ежеквартально в комплексе рассматривает решения по всем макропруденциальным инструментам. __""Такой подход позволит при принятии решений учитывать совместное влияние инструментов на финансовые организации"", __- отмечает регулятор.

Предложения о применении макропруденциальных инструментов готовит департамент финансовой стабильности ЦБ, рассматривает комитет финансовой стабильности. В рассмотрении предложений на заседании комитета участвуют представители надзорного блока, блоков денежно-кредитной политики и поведенческого надзора. Комитет дает рекомендацию совету директоров Банка России, который принимает окончательное решение по использованию макропруденциальных инструментов.

@ifax_go"
2025-05-23 11:12:10,"**Совет директоров ОВК рекомендовал не выплачивать дивиденды за 2024 год**

Совет директоров ПАО ""Научно-производственная корпорация ""Объединенная вагонная компания"" (НПК ОВК) рекомендовал акционерам не выплачивать дивиденды за 2024 г., сообщила компания.

Годовое собрание акционеров ОВК состоится 25 июня в форме заочного голосования, реестр на участие закрывается 2 июня.

@ifax_go"
2025-05-23 09:34:23,"**СД ПАО ""Элемент"" рекомендовал направить на дивиденды 1,66 млрд рублей из чистой прибыли за 2024 год**

Совет директоров ПАО ""Элемент"" рекомендовал направить на дивиденды 1,66 млрд рублей из чистой прибыли по итогам 2024 года, сообщила компания.

Предлагаемая дата закрытия реестра акционеров, имеющих право на выплату дивидендов, - 14 июля.

Размер дивидендов на одну обыкновенную акцию ПАО ""Элемент"" определяется как отношение части чистой прибыли, направляемой на выплату дивидендов, к количеству размещенных акций ПАО на 14 июля.

Как пояснили ""Интерфаксу"" в пресс-службе ""Элемента"", предлагаемый размер дивиденда на акцию составит 0,35 коп. или 3,5 руб. на лот из 1000 акций.

Годовое собрание акционеров ПАО ""Элемент"" запланировано на 24 июня.

@ifax_go"
2025-05-23 09:19:14,"**""Мегафон"" может выплатить дивиденды за I квартал по 6,46 рубля на акцию**

Совет директоров ПАО ""Мегафон"" рекомендовал внеочередному собранию акционеров утвердить дивиденды за I квартал в размере 6,46 рубля на акцию, говорится в сообщении компании.

Суммарно на выплату дивидендов может быть направлено 4 млрд рублей. Датой закрытия реестра для получения дивидендов предлагается утвердить 7 июля 2025 года.

Внеочередное собрание акционеров пройдет 25 июня в заочной форме. В нем смогут принять участие акционеры, зарегистрированные в реестре на 2 июня.

В апреле акционеры ""Мегафона"" утвердили дивиденды по итогам 2024 года на сумму 15,7 млрд рублей, по 25,33 рубля на каждую обыкновенную акцию.

@ifax_go"
2025-05-23 07:52:39,"**Ужесточение западных санкций против ""Совкомфлота"" и его судов создало __""дополнительные коммерческие и операционные сложности""__**

Об этом компания сообщила в отчетности за первый квартал 2025 года.

Усиление санкционного давления __""привело к снижению уровня доходов и простою части санкционных судов""__, говорится в документе. __""Руководство компании принимает меры по минимизации производственных и экономических потерь, связанных с новыми ограничениями""__, а сами санкции считает __""незаконными и не имеющими правовых оснований""__, отмечается в отчете.

В пресс-релизе, посвященном квартальным результатам, ""Совкомфлот"" назвал введенные в отчетном периоде санкции __""беспрецедентными по масштабу""__.

""Несмотря на данные события, бизнес-модель компании демонстрирует высокую устойчивость благодаря портфелю действующих долгосрочных контрактов и диверсифицированной структуре флота. Достаточный запас денежной ликвидности и сбалансированная структура капитала также позволяют компании сохранять стабильное финансовое положение. Компания продолжает системную работу по минимизации негативного влияния санкционных ограничений на свою деятельность"", - заявил ""Совкомфлот"".

@interfaxonline"
2025-05-23 07:46:15,"⚓️**Чистый убыток ""Совкомфлота"" по МСФО в I квартале составил $393 млн против прибыли годом ранее**

Чистый убыток ПАО ""Совкомфлот"" по МСФО в первом квартале 2025 году составил $393,014 млн по сравнению с прибылью $216,019 млн годом ранее, говорится в отчете компании.

В I квартале ""Совкомфлот"" получил $105 млн EBITDA (консенсус-прогноз составлял $98 млн), сообщила компания.

Выручка на основе тайм-чартерного эквивалента (ТЧЭ) в первом квартале сократилась до $222,1 млн (консенсус-прогноз - $217 млн). В первом квартале прошлого года СКФ получил $459 млн выручки в ТЧЭ.

Скорректированный чистый убыток СКФ составил 104 млн рублей по сравнению с 18,9 млрд рублей скорректированной чистой прибыли (база для дивидендов) годом ранее.

@ifax_go"
2025-05-23 07:08:42,"🇷🇺**Рынок акций РФ открылся в основную сессию снижением индексов МосБиржи и РТС на 0,6%**

Рынок акций РФ на старте торгов основной сессии на Мосбирже в пятницу сохранил негативный настрой на фоне смешанных сигналов с внешних фондовых площадок, слабости нефти. Индексы МосБиржи и РТС за минуту основных торгов снизились на 0,6%, лидируют в откате акции ""НЛМК"" (-4,5%), ""ММК"" (-1,9%), ""НОВАТЭКа"" (-1,3%).

К 10:01 МСК индекс МосБиржи составил 2775,37 пункта (-0,6%), индекс РТС - 1096,5 пункта (-0,6%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 1,2%.

Официальный курс доллара США, установленный ЦБ РФ с 23 мая, составляет 79,7357 руб. (-1,73 копейки).

@ifax_go"
2025-05-23 07:07:46,"**Рубль утром дорожает в паре с юанем при подготовке экспортеров к налоговым выплатам**

По итогам первой минуты торгов курс юаня составил 11,017 руб. (-3,55 коп. к уровню предыдущего закрытия). Китайская валюта при этом оказалась на 0,69 коп. выше уровня действующего официального курса.

@ifax_go"
2025-05-23 06:11:53,"🛢**Brent подешевела до $63,99 за баррель**

Цены на нефть умеренно снижаются утром в пятницу, оставаясь в негативном тренде на опасениях очередного ускорения темпов наращивания добычи ОПЕК+.

Стоимость июльских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 8:07 мск опускается на $0,45 (0,7%), до $63,99 за баррель. 

Фьючерсы на нефть WTI на июль на электронных торгах Нью-Йоркской товарной биржи снизились к этому времени на $0,46 (0,75%), до $60,74 за баррель. 

@ifax_go"
2025-05-23 06:06:36,"🇺🇸**Фондовые индексы США не показали единой динамики по итогам торгов**

Американские фондовые индексы не показали единой динамики по итогам торгов в четверг: S&P 500 завершил сессию в небольшом минусе, Nasdaq Composite вырос, Dow Jones практически не изменился.

Трейдеры оценивали сообщения, что Палата представителей Конгресса США одобрила предложенный президентом страны Дональдом Трампом проект бюджета, предусматривающий снижение налогов и наращивание расходов. Законопроект, который теперь поступит на рассмотрение Сената, существенно увеличит дефицит бюджета и госдолг США, отмечает Market Watch.

Лидером снижения среди компонентов Dow Jones стали бумаги UnitedHealth Group Inc., подешевевшие на 2,1% на информации, что власти США активизируют проверку работы страховщиков с программой Medicare Advantage.

Капитализация Nvidia Corp. увеличилась на 0,8%, Cisco Systems Inc. - на 0,3%, Oracle Corp. - на 0,1%. Компании примут участие в проекте строительства крупного центра обработки данных (ЦОД) для ИИ-разработок в Абу-Даби вместе с OpenAI и эмиратской G42.

🔻Индекс Dow Jones по данным на закрытие рынка в четверг опустился на 1,35 пункта и составил 41859,09 пункта.

🔻Значение S&P 500 снизилось на 2,6 пункта - до 5842,01 пункта.

🔺Nasdaq вырос на 53,09 пункта, составив 18925,73 пункта.

@ifax_go"
2025-05-22 17:43:00,"**Краткий обзор экономической повестки дня:**

🔹 Совет директоров ПАО ""Софтлайн"" рекомендовал акционерам утвердить дивиденды за 2024 год в размере 2,50 рубля на акцию.

🔹 МКПАО ""Т-Технологии"" в I квартале 2025 года увеличило чистую прибыль по МСФО на 50% - до 33,5 млрд руб. по сравнению с 22,3 млрд руб. прибыли годом ранее.

🔹 Совет директоров МКПАО ""Т-Технологии"" рекомендовал выплатить дивиденды за I квартал 2025 года в размере 33 рубля на одну обыкновенную акцию.

🔹 Акционеры ПАО ""Татнефть"" на годовом собрании одобрили финальные дивиденды за 2024 год в размере 43,11 руб. на акцию.

🔹 ""Московская биржа"" планирует обсудить с Банком России возможность расширения диапазона ценовых границ акций на торгах выходного дня с 3% до 5%, сообщил управляющий директор по фондовому рынку торговой площадки Борис Блохин.

🔹 Ценовые ожидания бизнеса в мае продолжили снижение (пятый месяц подряд), достигнув минимальных значений с августа 2023 года, говорится в мониторинге предприятий Банка России.

🔹 Совет директоров ""Газпрома"" рекомендовал годовому собранию акционеров не выплачивать дивиденды по итогам 2024 года.

🔹 Совет директоров ПАО ""Ламбумиз"" рекомендовал по итогам 2024 года выплатить дивиденды в размере 3,5 рубля на обыкновенную акцию, 0,1 руб. - на привилегированную.

🔹 Чистая прибыль ПАО ""Нижнекамскнефтехим"" (НКНХ, входит в ""СИБУР"") по РСБУ в I квартале 2025 года составила 19,8 млрд рублей против 7,6 млрд рублей в январе-марте прошлого года.

🔹 Совет директоров ""Магнита"" рекомендовал не выплачивать дивиденды по итогам 2024 года.

🔹 Совет директоров ""Норильского никеля"" рекомендовал не выплачивать дивиденды за 2024 год.

🔹 Правительство РФ в рамках реализации указа президента утвердило постановление о продлении до 30 апреля 2026 года требования об обязательной продаже части валютной выручки экспортерами.

#итогидня
@ifax_go"
2025-05-22 13:56:13,"🗣**""Новабев Групп"" планирует в ближайшие 5 лет сохранить выплату дивидендов на уровне 50% от чистой прибыли**

""Новабев Групп"", один из ведущих производителей и дистрибьюторов алкогольной продукции в РФ, планирует в ближайшие 5 лет (с 2024 года) сохранить выплату дивидендов на уровне 50% от чистой прибыли, сообщил председатель правления компании Константин Прохоров на Дне стратегии в четверг.

Компания выплачивает дивиденды с 2019 года.

@ifax_go"
2025-05-22 13:13:51,"**Дивиденды ПАО ""Ламбумиз"" за 2024 год могут составить 3,5 руб. на обыкновенную акцию, 0,1 руб. - на ""преф""**

Совет директоров ПАО ""Ламбумиз"", ведущего производителя неасептической упаковки для молока, рекомендовал по итогам 2024 года выплатить дивиденды в размере 3,5 рубля на обыкновенную акцию, 0,1 руб. - на привилегированную, сообщила компания.

Всего на выплату дивидендов рекомендовано направить 72 млн 642,767 тыс. рублей, или 25,2% от чистой прибыли по РСБУ за 2024 год.

Это будут первые дивиденды после IPO, которое компания провела в прошлом году.

Право на получение дивидендов предполагается предоставить акционерам, включенным в реестр по состоянию на 7 июля 2025 года. Годовое собрание акционеров назначено на 25 июня 2025 года.

@ifax_go"
2025-05-22 13:03:49,"✍️**ЦБ РФ предлагает новую методику определения системно значимых банков**

Банк России предлагает ввести новую методику определения системно значимых кредитных организаций (СЗКО), распределить их на пять групп, в зависимости от которых будут применяться разные надбавки за системную значимость, следует из доклада ЦБ для общественных консультаций.

__""Текущая надбавка одинакова для всех СЗКО, что подразумевает их равный вклад в системный риск. Однако российские банки сильно различаются - по размеру и структуре активов, бизнес-моделям, количеству клиентов, региональной развитости и иным факторам. Чтобы избежать системных рисков, необходимо, во-первых, дифференцировать СЗКО между собой, а во-вторых, устанавливать для более значимых организаций более высокие надбавки - у таких банков должен быть больший запас прочности на случай стресса"",__ - считает регулятор.

Для сбора информации о нефинансовых компаниях (в том числе экосистемных), входящих в периметр банковской группы, ЦБ планируется ввести новую форму отчетности. Предполагается, что в нее будут включены количественные и качественные показатели деятельности нефинансовых компаний. Отчетность будут составлять банки с активами свыше 300 млрд рублей. Кроме того, будет разрабатываться расширенная методология оценки значимости экосистемных компаний.

Новая методика будет состоять из двух блоков оценки системной значимости. В итоге регулятор ранжирует банки по пяти группам. Предполагается, что надбавки для первой группы составят 2,5%, второй - 2%, третьей - 1,5%, четвертой - 1%, пятой - 0,5% (предварительные расчеты).

🗓Впервые пересмотреть перечень СЗКО по новой методике ЦБ планирует в 2027 году.

@ifax_go"
2025-05-22 12:41:26,"📉**Акции ""Газпрома"" усилили падение на новости о рекомендации СД компании не выплачивать дивиденды за 2024 год**

На Мосбирже акции ""Газпрома"" к 15:42 мск стоили 131,08 рубля (-4%), минимум сделок составил 130,18 рубля (-4,6%) - минимум с 16 апреля; объем торгов бумагами превысил 12,48 млрд рублей.

@ifax_go"
2025-05-22 12:38:52,"✖️**СД ""Газпрома"" рекомендовал не выплачивать дивиденды за 2024 год**

Совет директоров ""Газпрома"" рекомендовал годовому собранию акционеров не выплачивать дивиденды по итогам 2024 года, сообщила компания.

Годовое собрание акционеров ""Газпрома"" назначено на 26 июня, состоится в заочной форме.

@ifax_go"
2025-05-22 12:33:49,"🔻**Ценовые ожидания предприятий в мае снизились до минимума с августа 2023 года**

Ценовые ожидания бизнеса в мае продолжили снижение (пятый месяц подряд), достигнув минимальных значений с августа 2023 года, говорится в мониторинге предприятий Банка России.

При этом ЦБ отмечает, что их уровень остается повышенным и существенно превосходит значения 2017-2019 гг., когда инфляция была вблизи цели.

Средний ожидаемый предприятиями темп прироста цен на следующие три месяца (в годовом выражении) в мае в несколько уменьшился и составил 4,4% по сравнению с 4,6% в апреле. Снижение показателя наблюдалось во всех отраслях, за исключением электроснабжения и водоотведения, где в мае этот показатель заметно увеличился. Минимальный прирост цен ожидают предприятия добычи полезных ископаемых (0,95%), а максимальный - в электроэнергетике (16,5%) и водоснабжении (13%) перед предстоящим повышением тарифов.

@ifax_go"
