Дата,Текст
2025-03-28 11:01:40,"**Акционеры группы ""Черкизово"" утвердили дивиденды за 2024 год в 98,92 руб. на акцию**

Акционеры группы ""Черкизово"" на годовом собрании в четверг утвердили дивиденды по итогам 2024 года в 98,92 рубля на акцию, сообщается в материалах компании.

Право на их получение имеют акционеры, включенные в реестр по состоянию на 7 апреля 2025 года.

Общий размер начисленных дивидендов составляет 4 млрд 176 млн 604 тыс. 394,64 рубля. Срок выплаты дивидендов номинальным держателям акций и являющимся профессиональным участником рынка ценных бумаг доверительному управляющему - не позднее 21 апреля 2025 года, другим зарегистрированным в реестре акционеров - не позднее 16 мая 2025 года.

@ifax_go"
2025-03-28 10:52:44,"🖋**Банки с базовой лицензией смогут торговать ценными бумагами второго уровня **

Банки с базовой лицензией могут получить возможность торговать ценными бумагами, включенными в котировальный список второго уровня, говорится во внесенном в Госдуму законопроекте.

Документ (N877249-8) размещен в электронной базе документов Госдумы. Его автором указан глава комитета Госдумы по финансовому рынку Анатолий Аксаков. Изменения предлагается внести в закон ""О банках и банковской деятельности"".

➖Сейчас банки с базовой лицензией при осуществлении деятельности на рынке ценных бумаг вправе совершать сделки только с ценными бумагами, включенными в котировальный список первого (высшего) уровня биржи, в капитале которой участвует Банк России.

Законопроект предоставляет банкам с базовой лицензией возможность торговать ценными бумагами, включенными в котировальный список второго уровня, в том числе на площадке организатора торгов, в капитале которого не обязательно участие Банка России.

Кроме того, законопроект направлен на снижение административной нагрузки на небанковские кредитные организации. Документ по аналогии с действующим регулированием в отношении банков с базовой лицензией исключает для небанковских кредитных организаций часть обязанностей по раскрытию информации и назначению отдельного руководителя службы внутреннего контроля.

@ifax_go"
2025-03-28 10:13:09,"**Газпром выставил повторную оферту на выкуп евробондов в евро с погашением в апреле, права на которые учитываются в РФ**

""Газпром капитал"" объявил оферту на выкуп еврооблигаций, номинированных в евро, со сроком погашения 15 апреля 2025 года, права на которые учитываются российскими депозитариями, сообщила компания на ленте раскрытия информации.

Компания готова выкупить долговые бумаги общей номинальной стоимостью до 275,5 млн евро. Цена выкупа - 100% номинала, также владельцы получат накопленный купонный доход в размере, рассчитанном на дату зачисления еврооблигаций на счет компании. Все расчеты с держателями будут производиться в рублях.

Сбор заявок от держателей стартует в 10:00 МСК и завершится в 16:00 МСК 31 марта, расчеты пройдут 3 апреля. Агент выкупа - Газпромбанк. Принять участие в оферте может любое физическое или юридическое лицо.

Изначально в обращении находились еврооблигации этого выпуска на 1 млрд евро, ставка купона по бумагам - 2,95%. ""Газпром"" провел два раунда замещения евробондов, по итогам которых заместил локальными облигациями чуть больше 70% выпуска.

@ifax_go"
2025-03-28 09:49:46,"**Выручка Акрона по РСБУ в 2024 году выросла на 17%, чистая прибыль упала на 46%**

Выручка ПАО ""Акрон"" (головное предприятие группы ""Акрон"", Великий Новгород) по РСБУ в 2024 году выросла на 17% и составила 147,8 млрд рублей, говорится в отчетности компании.

Валовая прибыль увеличилась на 21%, до 77,9 млрд рублей. Прибыль от продаж снизилась на 11%, до 39 млрд рублей, из-за роста коммерческих и управленческих расходов.

Чистая прибыль ""Акрона"" упала на 46%, до 15,8 млрд рублей.

Общий долг ПАО за прошлый год вырос в 1,8 раза и на 31 декабря 2024 года составил 161,4 млрд рублей.

@ifax_go"
2025-03-28 08:49:15,"**ЦБ РФ отказал VK Tech в госрегистрации допэмиссии акций**

Банк России отказал ПАО ""ВК Технологии"" (VK Tech) в государственной регистрации допэмиссии обыкновенных акций и регистрации проспекта ценных бумаг, размещаемых по открытой подписке, говорится в сообщении регулятора.

Источник, знакомый с деталями процесса, сообщил ""Интерфаксу"", что речь идет о стандартном уведомлении ЦБ о необходимой доработке проспекта. Эмитент ознакомится с деталями для внесения необходимых изменений, добавил собеседник агентства.

Уставный капитал ""ВК Технологии"" на 31 декабря 2024 года составляет 15 тыс. рублей и состоял из 15 тыс. обыкновенных акций номинальной стоимостью 1 руб. каждая.

Как говорится в материалах компании, 7 октября 2024 года на внеочередном собрании акционеров было утверждено изменение размещенного количества и номинальной стоимости обыкновенных акций. Согласно принятому решению, одна обыкновенная акция конвертируется в 20 тыс. обыкновенных акций компании. В результате дробления количество обыкновенных акций составляет 300 млн штук номинальной стоимостью 0,00005 рубля каждая.

@ifax_go"
2025-03-28 08:08:16,"🇯🇵🇺🇸**Nippon Steel может инвестировать $7 млрд в мощности US Steel в случае одобрения сделки в США**

Японская сталелитейная компания Nippon Steel Corp. может инвестировать порядка $7 млрд в модернизацию мощностей United States Steel Corp., если получит разрешение на ее покупку от американских властей, сообщает издание Semafor.

Nippon Steel объявила о покупке американского конкурента за $14,1 млрд в декабре 2023 года, пообещав вложить $2,7 млрд в его предприятия. Сделка была заблокирована в январе этого года занимавшим на тот момент пост президента США Джо Байденом. US Steel и Nippon Steel подали в суд, чтобы опротестовать запрет на их слияние, на данный момент сделку рассматривает американский Минюст.

Нынешний президент США Дональд Трамп в феврале заявил, что против сделки US Steel и Nippon Steel, однако был бы не против, если бы японская компания стала миноритарным акционером американского конкурента.

Акции US Steel подорожали на 7,5% на дополнительных торгах в четверг. Стоимость акций Nippon Steel в Токио в пятницу снизилась на 2,1%.

@ifax_go"
2025-03-28 07:09:36,"**🇷🇺Рынок акций РФ открылся в основную сессию снижением индексов МосБиржи и РТС на 1%**

Рынок акций РФ на старте торгов основной сессии на Мосбирже в пятницу снижается на фоне отсутствия позитивных известий относительно новых официальных российско-американских контактов по вопросу мирного урегулирования конфликта на Украине, а также на фоне ухудшения внешней конъюнктуры. Индексы МосБиржи и РТС за минуту торгов снизились на 1% к уровню закрытия основной сессии предыдущего торгового дня, лидируют в снижении бумаги ""Юнипро"" (-5,8%), Совкомбанка (-4,5%), ""Эн+ груп"" (-3,4%) и ""Совкомфлота"" (-3,1%).

К 10:01 мск индекс МосБиржи составил 3052,46 пункта (-1%), индекс РТС - 1147,01 пункта (-1%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 2,9%.

Официальный курс доллара США, установленный ЦБ РФ с 28 марта, составляет 83,8347 руб. (-37,18 копейки).

@ifax_go"
2025-03-28 07:08:44,"**Рубль утром немного снижается в паре с юанем на фоне дешевеющей нефти**

По итогам первой минуты торгов курс юаня составил 11,441 руб. (+2,1 коп. к уровню предыдущего закрытия). Китайская валюта при этом оказалась на 5,6 коп. ниже уровня действующего официального курса.

@ifax_go"
2025-03-28 06:35:07,"**Газпромбанк разместит ЦФА на 2 млрд рублей на платформе НРД**

Газпромбанк (ГПБ) разместит выпуск цифровых финансовых активов (ЦФА) объемом 2 млрд руб. на платформе Национального расчетного депозитария (НРД), говорится в решении о выпуске ЦФА на сайте НРД.

Выпуск структурирован в виде денежного требования к эмитенту, процентный доход - 21% годовых. Дата погашения - 13 мая 2025 года.

Стоимость одного ЦФА составляет 1 тыс. рублей. Сбор заявок пройдет 31 марта с 12:00 до 13:00 мск.

@ifax_go"
2025-03-28 05:56:01,"🛢**Цена Brent снизилась до $73,91 за баррель**

Цены на нефть слабо снижаются в пятницу после умеренного роста накануне.

Стоимость майских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 8:00 мск составляет $73,91 за баррель, что на $0,12 (0,16%) ниже, чем на закрытие предыдущих торгов. 

Фьючерсы на нефть WTI на май на электронных торгах Нью-Йоркской товарной биржи снизились в цене к этому времени на $0,11 (также на 0,16%), до $69,81 за баррель. 

@ifax_go"
2025-03-28 05:42:23,"🇺🇸**Фондовые индексы США снизились в четверг после объявления о новых импортных пошлинах**

Негативное влияние на настроения инвесторов оказало сообщение о том, что президент США Дональд Трамп вводит импортные пошлины в размере 25% на все автомобили, произведенные за пределами страны. Это решение должно вступить в силу 2 апреля. 

Котировки акций GameStop рухнули более чем на 22%. Владелец сети магазинов видеоигр и потребительской электроники готовит непубличное размещение конвертируемых облигаций на $1,3 млрд, полученные средства планируется направить на общекорпоративные цели, в том числе инвестиции в биткойн.

Акции 3M Co. ушли вниз на 2,8%, Goldman Sachs Group - на 2,6%, Nvidia Corp. - на 2,1%, American Express Co. - на 1,4%, JPMorgan Chase & Co. - на 1,2%, Super Micro Computer Inc. - на 6,3%.

Капитализация Tesla поднялась на 0,4%, Verizon Communications - на 1,8%, Boeing Co. - на 0,3%, Apple Inc. - на 1,1%.

🔻Dow Jones по итогам торгов в четверг снизился на 0,37% и составил 42299,7 пункта.

🔻Значение S&P 500 по итогам торгов опустилось на 0,33% - до 5693,31 пункта.

🔻Индекс Nasdaq уменьшился на 0,53% - до 17804,03 пункта.

@ifax_go"
2025-03-27 17:21:48,"**Краткий обзор экономической повестки дня:**

🔹 ВТБ в январе-феврале увеличил чистую прибыль по МСФО на 26% в годовом выражении, до 77,5 млрд рублей, благодаря доходам от комиссий и операций с ценными бумагами.

🔹 ВТБ планирует обсудить повестку годового собрания акционеров на наблюдательном совете 28 апреля, само собрание может пройти 16 июня, заявил журналистам первый зампред банка Дмитрий Пьянов.

🔹 Инвестиционный холдинг SFI (ПАО ""ЭсЭфАй"") по итогам 2024 года получил чистую прибыль 22,887 млрд рублей, что на 18,1 % больше чем в 2023 году (19,373 млрд рублей).

🔹 СД ПАО ""Новабев Групп"" рекомендовал дивиденды за 2024 год в 25 рублей на акцию.

🔹 АО ""Авито Финанс"", которое является подразделением Avito по развитию финансовых сервисов, включена Центробанком в реестр операторов финансовых платформ.

🔹 Устойчивое снижение инфляционных ожиданий является необходимым условием для смягчения денежно-кредитной политики (ДКП), пока говорить о движении этого показателя в область, соответствующую низкой инфляции, преждевременно, заявил зампред ЦБ Алексей Заботкин.

🔹 Чистая прибыль холдинга ""РЖД"" по МСФО в 2024 году снизилась в 3,3 раза и составила 50,7 млрд руб. против 170,1 млрд руб. годом ранее.

#итогидня
@ifax_go"
2025-03-27 16:00:28,"🇷🇺**Рынок акций РФ упал к 3080п по индексу МосБиржи**

Рынок акций РФ в четверг ускорил снижение на распродажах из-за затягивающегося процесса урегулирования конфликта вокруг Украины, а также из-за ожиданий пролонгации жесткой монетарной политики ЦБ РФ на фоне данных Росстата об ускорении недельной инфляции. Индекс МосБиржи упал в район 3080 пунктов, к уровню 1,5-месячной давности, показав снижение седьмые торги подряд. Лидерами отката выступили акции ПАО ""Группа Позитив"" (-5,8%), ""ММК"" (-4,9%), МКБ (-4,8%), ""Мечела"" (-4,6%); во ""втором эшелоне"" продолжилось падение бумаг ""Русагро"" (-8,7%) на высоких оборотах из-за уголовных дел о крупных хищениях.

По итогам основных торгов индекс МосБиржи составил 3083,99 пункта (-2%), индекс РТС - 1158,86 пункта (-1,6%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 4,5%.

Официальный курс доллара США, установленный ЦБ РФ с 28 марта, составил 83,8347 руб. (-37,18 копейки).

@ifax_go"
2025-03-27 15:56:53,"**Чистая прибыль РЖД по МСФО в 2024 году снизилась в 3,3 раза**

Чистая прибыль холдинга ""РЖД"" по МСФО в 2024 г. снизилась в 3,3 раза и составила 50,7 млрд руб. против 170,1 млрд руб. годом ранее, сообщается в отчете компании.

Доходы РЖД за 2024 г. выросли на 9,2% и составили 3,3 трлн руб., в том числе доходы от грузовых перевозок и предоставления доступа к инфраструктуре - 2,4 трлн руб. (+7,2% к 2023 г.), доходы от пассажирских перевозок - 418,8 млрд руб. (+17,6%).

@ifax_go"
2025-03-27 15:53:48,"**🗣""Аэрофлот"" в вопросе выплаты дивидендов за 2024 год учтет как интересы инвесторов, так и свое финсостояние **

__""Мы с одной стороны говорили о возможности возврата к дивидендам, но какой-то большей ясности я пока давать не готов. Мы внимательно следим за ожиданиями рынка, смотрим, какие у аналитиков заложены прогнозы и оценки - они варьируются, диапазон разный. Но, наверное, в целом консенсус рынка в том, что компания все-таки заплатит дивиденды. По крайней мере, рынок этого ожидает""__, - заявил IR-директор, замдиректора департамента бизнес-анализа и стратегического развития компании Андрей Напольнов в эфире телеграм-канала Market Power.

__""Но все-таки я здесь бы напомнил и сказал бы такую фразу: как записано в дивидендной политике, надо смотреть с учетом будущего и с учетом финансового положения компании. Конечно, здесь мы будем ориентироваться и на интересы наших инвесторов в том числе, но они, наверное, очень многогранны"",__ - сказал он, добавив, что новости по дивидендным выплатам ожидаются ""совсем скоро"".

Как сообщалось, на заседании совета директоров ""Аэрофлота"" 1 апреля планируется обсудить подход к распределению чистой прибыли группы за 2024 год в отношении выплаты дивидендов. Как пояснил Напольнов, речь идет о рассмотрении предложений по этому вопросу менеджмента компании. Далее, традиционно в мае, свою рекомендацию по выплатам должен дать совет директоров. Финальное решение утвердят акционеры на годовом собрании в июне.

@ifax_go"
2025-03-27 15:07:26,"**X5 в 2025 году ожидает увеличения выручки на 20%**

__""В 2025 году мы оцениваем, что наша выручка увеличится на 20%"",__ - сообщила в ходе Дня инвестора X5 директор по корпоративным финансам и работе с инвесторами Полина Угрюмова.

При этом в среднесрочной перспективе среднегодовые темпы роста выручки ожидаются в районе 17-18%.

Кроме того, по итогам года прогнозируется рентабельность по EBITDA не менее 6%, а соотношение чистого долга к EBITDA на уровне 1,2-1,4х.

Помимо этого, компания раскрыла прогноз по открытиям магазинов: не менее 2 тыс. магазинов в этом году, а к 2028 году - 9-10 тыс. магазинов по группе.

@ifax_go"
2025-03-27 14:52:38,"**💵💶Официальные курсы ЦБ РФ с 28 марта - 83,8347 руб./$1 и 90,5441 руб.****/EUR1**

@ifax_go"
2025-03-27 14:47:21,"**🛢Brent торгуется у $73,75 за баррель**

Цены на нефть меняются слабо и разнонаправленно вечером в четверг, инвесторы оценивают данные по запасам нефти в США и ситуацию с импортными пошлинами.

Майские фьючерсы на сорт Brent на лондонской бирже ICE Futures по данным на 17:28 мск подешевели на 5 центов, до $73,75 за баррель.

Фьючерсы на нефть WTI на май на Нью-Йоркской товарной бирже выросли в цене к этому времени на 12 центов, до $69,77 за баррель.

@ifax_go"
2025-03-27 14:12:39,"🇺🇸**Фондовые индексы США начали торги снижением**

Американский рынок акций начал торговую сессию в четверг с негативной динамикой, инвесторы оценивают статистику и новые импортные пошлины.

Негативное влияние на настроения инвесторов оказала новость о том, что президент США Дональд Трамп вводит импортные пошлины в размере 25% на все автомобили, произведенные за пределами страны. Это решение должно вступить в силу 2 апреля. Пошлины коснутся и продукции американских автопроизводителей, собранной за пределами США.

На этой новости акции General Motors упали в цене на 7,4%. По оценкам экспертов, компания производит за рубежом более половины продающихся в США машин. Бумаги Ford Motor дешевеют на 3,5%.

🔻Dow Jones к 17:55 мск уменьшился на 0,2% и составлял 42363,73 пункта.

🔻Значение S&P 500 с открытия рынка снизилось на 0,1% - до 5704,86 пункта.

🔻Индекс Nasdaq опустился на 0,2% - до 17867,88 пункта.

@ifax_go"
2025-03-27 13:59:10,"📉**Рынок акций РФ к вечеру остается под давлением продаж, индекс МосБиржи упал ниже 3100п**

Рынок акций РФ к вечеру в четверг остается под давлением продаж из-за затягивающегося процесса урегулирования конфликта вокруг Украины, а также ожиданий пролонгации жесткой монетарной политики ЦБ РФ на фоне данных Росстата об ускорении недельной инфляции. Индекс МосБиржи откатился ниже 3100 пунктов, к уровню 1,5-месячной давности; лидерами снижения выступают акции ПАО ""Группа Позитив"" (-5,5%), ""ММК"" (-4,5%) и АФК ""Система"" (-4,1%), во ""втором эшелоне"" продолжилось падение бумаг ""Русагро"" (-9,5%) на высоких оборотах из-за уголовных дел о крупных хищениях.

К 16:35 МСК индекс МосБиржи составил 3087,61 пункта (-1,9%), индекс РТС - 1155,1 пункта (-1,9%); цены большинства ""голубых фишек"" на Мосбирже снизились в пределах 4%.

Подешевели также акции ""Северстали"" (-4%), ПАО ""Группа компаний ПИК"" (-4%), ""Мечела"" (-3,8%), ""НЛМК"" (-3,4%), ""Т-Технологии"" (-3,4%), ""Газпрома"" (-3,1%).

@ifax_go"
2025-03-27 13:14:39,"**🔺Объем инвестиций нерезидентов в ОФЗ в феврале увеличился на 6 млрд рублей**

Объем инвестиций нерезидентов в ОФЗ в феврале 2025 года увеличился на 6 млрд рублей, или на 0,7%, до 922 млрд рублей, сообщается на сайте ЦБ РФ.

В то же время объем рынка ОФЗ в феврале вырос на 690 млрд рублей, или на 3,0%, до 23 трлн 391 млрд рублей.

Доля нерезидентов в ОФЗ на 1 марта снизилась до 3,9% (минимум с 1 февраля 2012 года, когда она составляла также 3,9%) с 4,0% на 1 февраля.

@ifax_go"
2025-03-27 12:35:03,"**🇺🇸Оценка роста ВВП США в IV квартале улучшена до 2,4% с 2,3%**

Экономика США в четвертом квартале 2024 года увеличилась на 2,4% в пересчете на годовые темпы, говорится в окончательном отчете министерства торговли страны.

Ранее сообщалось о менее значительном подъеме - на 2,3%.

Аналитики, опрошенные Trading Economics, не ожидали пересмотра ранее объявленной оценки.

@ifax_go"
