Дата,Текст
2025-01-30 11:39:26,"🔺**""Соллерс"" поднял пороговое значение учитываемого в дивполитике показателя ""чистый долг/EBITDA"" с 1х до 1,5х**

Совет директоров ПАО ""Соллерс"" на заседании 30 января утвердил пороговое значение коэффициента ""чистый долг/EBITDA"", рассчитываемого по консолидированной отчетности (МСФО), на уровне 1,5х, сообщила компания.

Ранее компания обычно утверждала пороговое значение коэффициента с учетом проекта финансового плана и инвестпрограммы на уровне единицы (1х).

Дивидендная политика ""Соллерса"" предполагает, что при превышении утвержденного советом директоров порогового значения коэффициента ""чистый долг/EBITDA"" выплата дивидендов не рекомендуется.

Последние два года ""Соллерс"" после десятилетнего перерыва вернулся к выплате дивидендов: выплаты за 2022 год и 2023 год составили 45,39 руб. и 89 руб. на акцию соответственно.

@ifax_go"
2025-01-30 11:27:51,"🗓**""НОВАТЭК"" 6 февраля проведет сбор заявок на бонды объемом от $200 млн с расчетами в рублях**

ПАО ""НОВАТЭК"" 6 февраля с 11:00 до 15:00 мск проведет сбор заявок на приобретение 3-летних облигаций серии 001P-03 объемом не менее $200 млн с расчетами в рублях, сообщил ""Интерфаксу"" источник на финансовом рынке.

Ориентир ставки 1-го купона - не выше 10,00% годовых, купоны ежемесячные.

Агентом по приобретению выступит ""Ньютон инвестиции"".

Техразмещение запланировано на 12 февраля. Выпуск доступен для приобретения неквалифицированным инвесторам.

Безналичные расчеты в рублях РФ по официальному курсу Банка России будут производиться: на дату, в которую совершается сделка купли-продажи облигаций при размещении облигаций, или на дату, предшествующую дате выплаты купона/погашения облигаций.

@ifax_go"
2025-01-30 11:02:33,"**Минфин не слышал о планах ""Транснефти"" снизить дивиденды из-за повышенного налога на прибыль**

Министерство финансов не слышало о планах ""Транснефти"" снизить дивиденды из-за повышения налога на прибыль до 40%.

__""Я не слышал о таком"",__ - сказал журналистам замминистра финансов РФ Алексей Сазанов.

Как сообщалось, ставка налога на прибыль для ПАО ""Транснефть"" с 1 января повысилась до 40% и будет действовать в течение 6 лет, в налоговых периодах 2025-2030 годов. Соответствующие поправки в Налоговый кодекс были утверждены в законе, который подписал президент РФ. До этого налог на прибыль ""Транснефти"" рассчитывался по общеустановленной ставке 20%. С 1 января 2025 года для всех других российских организаций она выросла до 25%.

В связи с увеличением налоговой нагрузки ""Транснефть"" просила дополнительно проиндексировать тариф на транспортировку нефти в 2025 году на 8,7% вместо предусмотренных правительством 5,8%, в том числе, для сохранения запланированной инвестпрограммы. В результате индексация тарифа с 1 января составила 9,9%.

@ifax_go"
2025-01-30 10:09:11,"🇪🇺**ВВП еврозоны в IV квартале не изменился**

ВВП еврозоны в четвертом квартале 2024 года не изменился по сравнению с предыдущими тремя месяцами, говорится в отчете статистического управления Европейского союза, представившего предварительные данные.

Эксперты в среднем прогнозировали его повышение на 0,1%, по данным Trading Economics.

@ifax_go"
2025-01-30 09:09:20,"📊**ЦБ: корпоративный кредитный портфель в декабре снизился из-за крупных погашений, за 2024 год вырос на 18%**

Корпоративное кредитование в декабре показало снижение на 0,2% после роста на 0,8% месяцем ранее за счет погашения или урегулирования старых валютных ссуд, говорится в обзоре ЦБ РФ о динамике развития банковского сектора.

Валютные кредиты в декабре прошлого года сократились на 0,9 трлн рублей в рублевом эквиваленте (-6,5%). Рублевые кредиты продолжили расти (+0,7 трлн рублей, +1%), но медленнее, чем в ноябре (1,5%).

__""Это связано с жесткими ДКУ, сезонным повышением госрасходов в конце года и, как следствие, погашением ранее взятых кредитов на исполнение госзаказов. Кроме того, банки в значительной мере использовали накопленный ранее запас капитала для финансирования быстрого роста"", __- говорится в обзоре ЦБ.

Всего за 2024 год корпоративные кредиты увеличились на 17,9%, что в целом сопоставимо с результатом 2023 года (+20,7%). Более половины прироста приходится на сегменты, которые менее чувствительны к повышению ставок кредитования уже начатых инвестиционных программ (оценочно около 45% прироста), а также строительство жилья (16% прироста), где сохраняются относительно низкие ставки благодаря механизму проектного финансирования с использованием счетов эскроу.

@ifax_go"
2025-01-30 09:01:48,"**Банки РФ в 2024 году заработали рекордные 3,8 трлн рублей чистой прибыли**

Банки РФ в 2024 году показали рекордную чистую прибыль в размере 3,8 трлн рублей, говорится в обзоре ЦБ о динамике развития банковского сектора.

Прошлый рекорд по прибыли банки показали в 2023 году, заработав 3,3 трлн рублей.

Как говорится в обзоре, в декабре чистая прибыль сектора сократилась в 2,8 раза по сравнению с ноябрьским показателем и составила 187 млрд рублей. Доходность на капитал (ROE) соответственно снизилась до 13% с 37%. На сокращение прибыли повлияли убыток от отрицательной переоценки валюты (-120 млрд рублей после +162 млрд в ноябре) из-за укрепления рубля к доллару (+6% после ослабления на 10% в ноябре ), рост операционных расходов на 184 млрд рублей в основном из-за традиционного увеличения расходов на персонал под конец года (+44 млрд рублей), а также обесценение нематериальных активов (+43 млрд рублей) у отдельных банков.

Поддержали декабрьскую прибыль значительные дивиденды от дочерних финансовых организаций (66 млрд рублей к ноябрю), а также положительная переоценка ОФЗ (+19 млрд рублей) вследствие падения доходности на всех сроках.

По предварительным данным, в декабре показатель достаточности совокупного капитала (Н1.0) вырос на 0,4 п.п., до 12,5% из за опережающего роста капитала (+1,7%) при снижении взвешенных по риску активов (-1,4%). Запас капитала (до нормативов) вырос до около 7 трлн рублей (+8%).

@ifax_go"
2025-01-30 08:02:19,"**💰SoftBank Group ведет переговоры об инвестициях в OpenAI на сумму $15-25 млрд **

Японская SoftBank Group ведет переговоры об инвестициях в размере $15-25 млрд в OpenAI, разработчика чат-бота ChatGPT, пишет газета Financial Times со ссылкой на информированные источники.

Инвестиции углубят сотрудничество двух компаний, которые уже планируют крупный проект в сфере ИИ-инфраструктуры.

На прошлой неделе OpenAI, SoftBank, а также Oracle Corp. и госинвесткомпания ОАЭ MGX объявили о создании СП, получившего название Stargate. Предполагается, что Stargate в следующие 4 года вложит $500 млрд в строительство дата-центров в США для OpenAI.

SoftBank планирует инвестиции напрямую в OpenAI в дополнение к своим обязательствам (более $15 млрд) в рамках проекта Stargate, отмечают источники FT.

__""Переговоры идут, и сумма, которую SoftBank может инвестировать в капитал OpenAI окончательно не определена"",__ - сказал один из источников.

@ifax_go"
2025-01-30 07:58:31,"**Shell в IV квартале получила скорр. прибыль ниже прогноза**

Британо-нидерландская нефтегазовая компания Shell сократила скорректированную прибыль в четвертом квартале 2024 года на 39% относительно предыдущего квартала, хуже ожиданий аналитиков.

Как говорится в пресс-релизе, прибыль без учета разовых факторов в октябре-декабре составила $3,66 млрд по сравнению с $6,03 млрд кварталом ранее. Консенсус-прогноз экспертов, представленный самой компанией, равнялся $4,1 млрд.

Скорректированная EBITDA снизилась до $14,28 млрд с $16,01 млрд кварталом ранее.

Чистая прибыль составила $928 млн по сравнению с $4,29 млрд в июле-сентябре, говорится в отчетности нефтегазового гиганта.

Shell также сообщила, что до публикации следующей квартальной отчетности проведет обратный выкуп акций на $3,5 млрд. Такая же программа была запущена по итогам предыдущего квартала.

@ifax_go"
2025-01-30 07:13:46,"**Рубль утром слегка повышается в паре с юанем на фоне подрастающей нефти**

По итогам первых трех минут торгов курс юаня составил 13,3945 руб. (-0,2 коп. к уровню предыдущего закрытия). Китайская валюта при этом оказалась на 1,28 коп. выше уровня действующего официального курса.

@ifax_go"
2025-01-30 07:10:18,"**🇷🇺Рынок акций РФ открылся в основную сессию снижением индексов РТС и МосБиржи**

Рынок акций РФ на старте торгов основной сессии в четверг демонстрирует смешанную динамику цен blue chips на фоне разнополярных сигналов с внешних фондовых площадок, просевшей нефти на сигналах Федрезерва США о нежелании быстро снижать ставки, а также на ожиданиях сохранения жесткой ДКП ЦБ РФ из-за сохраняющейся высокой инфляции в России. Индексы МосБиржи и РТС за минуту основных торгов просели на 0,1%, лидируют в откате бумаги ""Татнефти"" (-0,6%) и ОК ""Русал"" (-0,6%), вырос ""Аэрофлот"" (+1,6%).

К 10:01 МСК индекс МосБиржи составил 2946,68 пункта (-0,1%), индекс РТС - 947,09 пункта (-0,1%); цены большинства ""голубых фишек"" на Мосбирже изменились в пределах 1,3%.

Официальный курс доллара США, установленный ЦБ РФ с 30 января, составляет 98,0126 руб. (+4,68 копейки).

@ifax_go"
2025-01-30 06:25:39,"**Meta увеличила чистую прибыль в IV квартале почти в 1,5 раза**

Американская Meta Platforms (признана в РФ экстремистской организацией и запрещена) увеличила чистую прибыль в четвертом квартале 2024 года почти в 1,5 раза, выручку - на 21%, при этом оба показателя превзошли прогнозы рынка.

Как говорится в пресс-релизе компании, чистая прибыль в октябре-декабре составила $20,84 млрд по сравнению с $14,02 млрд за аналогичный период предыдущего года. Прибыль в расчете на акцию выросла до $8,02 с $5,33 при среднем прогнозе опрошенных FactSet аналитиков на уровне $6,76 на акцию.

Квартальная выручка Meta повысилась до $48,39 млрд с $40,11 млрд годом ранее. Консенсус-прогноз экспертов для этого показателя составлял $47 млрд. На долю рекламных доходов пришлось почти 97% выручки.

@ifax_go"
2025-01-30 05:58:03,"**Microsoft увеличила чистую прибыль во II финквартале лучше прогноза**

Американская Microsoft Corp. увеличила чистую прибыль во втором финансовом квартале на 10%, выручку - на 12%, причем оба показателя оказались сильнее прогнозов рынка.

Как говорится в пресс-релизе компании, чистая прибыль по итогам квартала, завершившегося 31 декабря 2024 года, составила $24,11 млрд ($3,23 в расчете на акцию) по сравнению с $21,87 млрд ($2,93 на акцию) за аналогичный период предыдущего года.

Квартальная выручка Microsoft составила $69,63 млрд против $62,02 млрд годом ранее.

Эксперты, опрошенные FactSet, в среднем прогнозировали чистую прибыль компании на уровне $3,11 на акцию при выручке в $68,9 млрд.

@ifax_go"
2025-01-30 05:52:14,"🛢**Brent подешевела до $76,4 за баррель**

Цены на нефть слабо опускаются в четверг после снижения по итогам предыдущей сессии на данных о росте запасов в США.

Стоимость мартовских фьючерсов на сорт Brent на лондонской бирже ICE Futures по данным на 8:05 мск составляет $76,43 за баррель, что на $0,15 (0,20%) ниже, чем на закрытие предыдущих торгов. 

Фьючерсы на нефть WTI на март на электронных торгах Нью-Йоркской товарной биржи опустились в цене к этому времени на $0,07 (0,1%), до $72,55 за баррель. 

@ifax_go"
2025-01-30 05:42:55,"🇺🇸**Уолл-стрит закрылась в минусе на нежелании ФРС быстро снижать ставки**

Федрезерв по итогам завершившегося в среду двухдневного заседания сохранил ставку по федеральным кредитным средствам (federal funds rate) в диапазоне 4,25-4,5% годовых. Решение было принято единогласно всеми членами Федерального комитета по операциям на открытом рынке (FOMC) и совпало с ожиданиями большинства аналитиков и экономистов.

Экономика США в целом сильная, инфляция остается несколько повышенной, заявил председатель американского ЦБ Джером Пауэлл в ходе пресс-конференции по итогам мероприятия.

При этом ФРС ""__не нужно торопиться с корректировкой денежно-кредитной политики""__ после снижения процентной ставки в совокупности на 1 процентный пункт во втором полугодии 2024 года, сказал он.

Глава ЦБ также подчеркнул независимость Федрезерва от всего, что связано с заявлениями администрации нового президента страны Дональда Трампа.

Ранее Трамп говорил, что __""потребует немедленного снижения процентных ставок"".__ Когда Пауэлла попросили ответить на данный комментарий, он сказал, что не будет этого делать: __""Это неуместно""__.

🔻Dow Jones понизился на 0,31% и составил 44713,52 пункта.

🔻S&P 500 уменьшился на 0,47% - до 6039,31 пункта.

🔻Nasdaq потерял 0,51% и составил 19632,32 пункта.

@ifax_go"
2025-01-29 19:00:44,"⚡️**ФРС сохранила базовую ставку в диапазоне 4,25-4,5% годовых, как и ожидалось**

Решение совпало с ожиданиями большинства аналитиков и экономистов.

При этом оно было принято единогласно всеми членами FOMC.

@ifax_go"
2025-01-29 17:23:52,"**Краткий обзор экономической повестки дня:**

🔹 ""Инарктика"" в 2024 году увеличила выручку на 10,5%, до 31,5 млрд руб., продажи снизила на 8,9%.

🔹 Акционеры Совкомбанка одобрили допэмиссию акций, размещаемую в рамках присоединения ХКФ банка (работает под брендом Хоум банк).

🔹 ВТБ планирует юридическое присоединение Российского национального коммерческого банка (РНКБ) в июне этого года, заявил журналистам первый зампред ВТБ Дмитрий Пьянов.

🔹 Правительство РФ вместе с руководством ПАО ""РусГидро"" готовят предложения по улучшению экономического состояния компании, сообщил вице-премьер РФ Юрий Трутнев журналистам.

🔹 Инфляционные ожидания населения РФ в январе немного выросли, составив 14% против 13,9% в декабре.

🔹 Портфель необеспеченных потребительских кредитов в декабре 2024 года сократился на 1,9% после околонулевой динамики в октябре - ноябре 2024 года, сообщил ЦБ РФ.

🔹 Московская биржа приняла решение с 31 января перевести обыкновенные акции ПАО ""Озон Фармацевтика"" из раздела ""первый уровень"" в раздел ""второй уровень"" списка ценных бумаг, допущенных к торгам.

🔹 Инфляция в РФ с 21 по 27 января составила 0,22%, в годовом выражении превысила 10,1%, сообщил в среду Росстат.

#итогидня
@ifax_go"
2025-01-29 16:25:14,"**Что подорожало и подешевело в России с 21 по 27 января (по данным Росстата):**

**Инфляция** в РФ с 21 по 27 января составила 0,22%, в годовом выражении превысила 10,1%.

🔺**Подорожало:**

🥃Водка - на 1,0%.

🧀Сыры твердые, полутвердые и мягкие - на 0,9%.

☕️Чай черный - на 0,8%.

🥛Сметана - на 0,6%, молоко пастеризованное - на 0,4%.

🥖Мука пшеничная, макаронные изделия и вермишель - на 0,6%.

🐟Рыба мороженая - на 0,5%. 

🥩Говядина, колбасы полукопченые и варено-копченые - на 0,4%.

🧈Масло подсолнечное - на 0,4%, масло сливочное - на 0,2%.

🍏 Рост цен на плодоовощную продукцию составил 0,5%, в том числе на огурцы (1,1%), картофель (0,9%), лук репчатый и яблоки (0,7%), свеклу столовую (0,4%), бананы (0,3%).

🧺Мыло туалетное - на 0,5% и хозяйственное - на 0,4%.

⛽️Цены на дизельное топливо - на 0,1%, на бензин автомобильный - практически не изменились.

🚌 Плата за жилье в домах государственного и муниципального жилищных фондов - на 1,4% и тарифы на проезд в городском автобусе - на 0,1%.

🔻**Подешевело:**

🥚Яйца куриные - на 0,8%.

🥩Мясо кур - на 0,3%, баранина, консервы мясные для детского питания - на 0,1%.

🌾Крупа гречневая - на 0,2%.

🍅Помидоры - на 0,3%.

🧹Электропылесосы - на 0,6%, телевизоры - на 0,4%.

#Росстат
@ifax_go"
2025-01-29 16:02:14,"**➡️Мосбиржа переводит акции ""Озон Фармацевтики"" из первого во второй уровень листинга**

Московская биржа приняла решение с 31 января перевести обыкновенные акции ПАО ""Озон Фармацевтика"" из раздела ""первый уровень"" в раздел ""второй уровень"" списка ценных бумаг, допущенных к торгам.

Согласно сообщению биржи, такое решение связано с несоответствием требованиям к размеру free float по истечении трех месяцев с даты первичного публичного размещения.

Компания провела IPO на Мосбирже в октябре 2024 года. ""Озон Фармацевтика"" разместила акции по цене 35 рублей и привлекла 3,45 млрд рублей. Free float ""Озон Фармацевтики"" составляет 10%, следует из данных Мосбиржи.

@ifax_go"
2025-01-29 15:58:06,"🇷🇺**Рынок акций РФ в среду превысил 2950п по индексу МосБиржи**

Рынок акций РФ в среду консолидировался при смешанной динамике цен blue chips в ожидании выхода свежей статистики по инфляции в России, в то время как внешние рынки подавали разнополярные сигналы, просела нефть, а ЕС продолжает санкционное давление на Россию. Индекс МосБиржи превысил 2950 пунктов, лидировали в подъеме акции ""РусГидро"" (+5,5%) на новостях о планах властей РФ улучшить экономическое состояние компании.

По итогам основных торгов индекс МосБиржи составил 2950,68 пункта (+0,6%, максимум сессии - 2957,64 пункта), индекс РТС - 948,38 пункта (+0,6%); цены большинства ""голубых фишек"" на Мосбирже изменились в пределах 2,8%.

Официальный курс доллара США, установленный ЦБ РФ с 30 января, составил 98,0126 руб. (+4,68 копейки).

@ifax_go"
2025-01-29 15:34:49,"🛢**Запасы нефти в США выросли на 3,46 млн баррелей за неделю**

Коммерческие запасы нефти в США на прошлой неделе увеличились на 3,46 млн баррелей - до 415,13 млн баррелей, говорится в еженедельном докладе министерства энергетики страны.

Товарные запасы бензина выросли на 2,96 млн баррелей. Коммерческие запасы дистиллятов уменьшились на 4,99 млн баррелей.

Эксперты ожидали роста запасов нефти на 2,19 млн баррелей, увеличения запасов бензина на 245 тыс. баррелей и падения запасов дистиллятов на 2,3 млн баррелей.

@ifax_go"
